"t_max","n_per","k_max","expt_max","sigma_alpha_sq","sd_expt","B","scenario","param","model","expt","est_param","est_se","lower","upper","se_boots_k","lower_boots_normal_k","upper_boots_normal_k","se_boots_k_t","lower_boots_normal_k_t","upper_boots_normal_k_t","est_sigma_alpha_sq","est_sigma_delta_sq","conv","time"
30,100,29,29,0.02,2,100,1,2,1,0,1.98644857643037,0.0117318282223515,1.96345461564175,2.00944253721899,0.0112084722180113,1.96448037456135,2.00841677829939,0.0121976791599712,1.96254156458185,2.01035558827889,0.0188382872679805,NA,1,235.439538447062
30,100,29,29,0.02,2,100,1,2,1,1,1.98644857643037,0.0117318282223515,1.96345461564175,2.00944253721899,0.0112084722180113,1.96448037456135,2.00841677829939,0.0121976791599712,1.96254156458185,2.01035558827889,0.0188382872679805,NA,1,235.439538447062
30,100,29,29,0.02,2,100,1,2,1,2,1.98644857643037,0.0117318282223515,1.96345461564175,2.00944253721899,0.0112084722180113,1.96448037456135,2.00841677829939,0.0121976791599712,1.96254156458185,2.01035558827889,0.0188382872679805,NA,1,235.439538447062
30,100,29,29,0.02,2,100,1,2,1,3,1.98644857643037,0.0117318282223515,1.96345461564175,2.00944253721899,0.0112084722180113,1.96448037456135,2.00841677829939,0.0121976791599712,1.96254156458185,2.01035558827889,0.0188382872679805,NA,1,235.439538447062
30,100,29,29,0.02,2,100,1,2,1,4,1.98644857643037,0.0117318282223515,1.96345461564175,2.00944253721899,0.0112084722180113,1.96448037456135,2.00841677829939,0.0121976791599712,1.96254156458185,2.01035558827889,0.0188382872679805,NA,1,235.439538447062
30,100,29,29,0.02,2,100,1,2,1,5,1.98644857643037,0.0117318282223515,1.96345461564175,2.00944253721899,0.0112084722180113,1.96448037456135,2.00841677829939,0.0121976791599712,1.96254156458185,2.01035558827889,0.0188382872679805,NA,1,235.439538447062
30,100,29,29,0.02,2,100,1,2,1,6,1.98644857643037,0.0117318282223515,1.96345461564175,2.00944253721899,0.0112084722180113,1.96448037456135,2.00841677829939,0.0121976791599712,1.96254156458185,2.01035558827889,0.0188382872679805,NA,1,235.439538447062
30,100,29,29,0.02,2,100,1,2,1,7,1.98644857643037,0.0117318282223515,1.96345461564175,2.00944253721899,0.0112084722180113,1.96448037456135,2.00841677829939,0.0121976791599712,1.96254156458185,2.01035558827889,0.0188382872679805,NA,1,235.439538447062
30,100,29,29,0.02,2,100,1,2,1,8,1.98644857643037,0.0117318282223515,1.96345461564175,2.00944253721899,0.0112084722180113,1.96448037456135,2.00841677829939,0.0121976791599712,1.96254156458185,2.01035558827889,0.0188382872679805,NA,1,235.439538447062
30,100,29,29,0.02,2,100,1,2,1,9,1.98644857643037,0.0117318282223515,1.96345461564175,2.00944253721899,0.0112084722180113,1.96448037456135,2.00841677829939,0.0121976791599712,1.96254156458185,2.01035558827889,0.0188382872679805,NA,1,235.439538447062
