"t_max","n_per","k_max","expt_max","sigma_alpha_sq","sd_expt","B","scenario","param","model","expt","est_param","est_se","lower","upper","se_boots_k","lower_boots_normal_k","upper_boots_normal_k","se_boots_k_t","lower_boots_normal_k_t","upper_boots_normal_k_t","est_sigma_alpha_sq","est_sigma_delta_sq","conv","time"
8,100,14,7,0.02,2,100,1,2,1,0,2.00881477714875,0.0326440373799702,1.94483363957403,2.07279591472347,0.0353030433715901,1.93962208359578,2.07800747070172,0.0348224095164992,1.94056410864151,2.07706544565599,0.021521104655223,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,1,1,2.00881477714875,0.0326440373799702,1.94483363957403,2.07279591472347,0.0353030433715901,1.93962208359578,2.07800747070172,0.0348224095164992,1.94056410864151,2.07706544565599,0.021521104655223,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,1,2,2.00881477714875,0.0326440373799702,1.94483363957403,2.07279591472347,0.0353030433715901,1.93962208359578,2.07800747070172,0.0348224095164992,1.94056410864151,2.07706544565599,0.021521104655223,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,1,3,2.00881477714875,0.0326440373799702,1.94483363957403,2.07279591472347,0.0353030433715901,1.93962208359578,2.07800747070172,0.0348224095164992,1.94056410864151,2.07706544565599,0.021521104655223,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,1,4,2.00881477714875,0.0326440373799702,1.94483363957403,2.07279591472347,0.0353030433715901,1.93962208359578,2.07800747070172,0.0348224095164992,1.94056410864151,2.07706544565599,0.021521104655223,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,1,5,2.00881477714875,0.0326440373799702,1.94483363957403,2.07279591472347,0.0353030433715901,1.93962208359578,2.07800747070172,0.0348224095164992,1.94056410864151,2.07706544565599,0.021521104655223,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,1,6,2.00881477714875,0.0326440373799702,1.94483363957403,2.07279591472347,0.0353030433715901,1.93962208359578,2.07800747070172,0.0348224095164992,1.94056410864151,2.07706544565599,0.021521104655223,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,1,7,2.00881477714875,0.0326440373799702,1.94483363957403,2.07279591472347,0.0353030433715901,1.93962208359578,2.07800747070172,0.0348224095164992,1.94056410864151,2.07706544565599,0.021521104655223,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,2,0,2.09760962175461,0.0508273864951906,1.99798977479574,2.19722946871349,0.0470057696683367,2.00548000613909,2.18973923737014,0.0495673809499736,2.00045934028469,2.19475990322454,0.0209837352385175,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,2,1,2.01779902280387,0.0328534267660704,1.95340748957365,2.0821905560341,0.0470057696683367,1.92566940718835,2.1099286384194,0.0495673809499736,1.92064874133395,2.1149493042738,0.0209837352385175,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,2,2,2.04440255578745,0.0361539590326453,1.97354209818493,2.11526301338998,0.0470057696683367,1.95227294017193,2.13653217140298,0.0495673809499736,1.94725227431753,2.14155283725738,0.0209837352385175,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,2,3,2.07100608877103,0.0425260776028878,1.98765650826562,2.15435566927645,0.0470057696683367,1.97887647315551,2.16313570438656,0.0495673809499736,1.97385580730111,2.16815637024096,0.0209837352385175,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,2,4,2.09760962175461,0.0508273864951906,1.99798977479574,2.19722946871349,0.0470057696683367,2.00548000613909,2.18973923737014,0.0495673809499736,2.00045934028469,2.19475990322454,0.0209837352385175,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,2,5,2.12421315473819,0.0602658823769147,2.00609419578291,2.24233211369347,0.0470057696683367,2.03208353912267,2.21634277035372,0.0495673809499736,2.02706287326827,2.22136343620812,0.0209837352385175,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,2,6,2.15081668772177,0.0703855621452067,2.01286352088556,2.28876985455799,0.0470057696683367,2.05868707210625,2.2429463033373,0.0495673809499736,2.05366640625185,2.2479669691917,0.0209837352385175,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,2,7,2.17742022070535,0.0809313014686987,2.01879778460475,2.33604265680596,0.0470057696683367,2.08529060508983,2.26954983632088,0.0495673809499736,2.08026993923543,2.27457050217528,0.0209837352385175,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,3,0,2.02808145947952,0.0369614924457129,1.95563826547107,2.10052465348796,0.0364734095128791,1.95659489044089,2.09956802851814,0.0384961845013354,1.95263032431469,2.10353259464434,0.021118965907389,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,3,1,1.99497099019118,0.0349931701954565,1.92638563690321,2.06355634347916,0.0364734095128791,1.92348442115256,2.06645755922981,0.0384961845013354,1.91951985502636,2.07042212535601,0.021118965907389,NA,1,11.7920060316722
8,100,14,7,0.02,2,100,1,2,3,2,2.03359987102757,0.039556145241254,1.95607125098748,2.11112849106766,0.0364734095128791,1.96211330198895,2.10508644006619,0.0384961845013354,1.95814873586274,2.1090510061924,0.021118965907389,NA,1,11.7920060316722
