"t_max","n_per","k_max","expt_max","sigma_alpha_sq","sd_expt","B","scenario","param","model","expt","est_param","est_se","lower","upper","se_boots_k","lower_boots_normal_k","upper_boots_normal_k","se_boots_k_t","lower_boots_normal_k_t","upper_boots_normal_k_t","est_sigma_alpha_sq","est_sigma_delta_sq","conv","time"
8,500,42,7,0.01716,0.324037,100,4,0.173314,1,0,-0.297353349242758,0.0184701483295822,-0.333554174757852,-0.261152523727664,0.016058670725612,-0.328827765504545,-0.265878932980971,0.0209803866135347,-0.338474151387012,-0.256232547098504,0.0258250804518352,NA,1,160.428788566589
8,500,42,7,0.01716,0.324037,100,4,-0.561532843642946,1,1,-0.297353349242758,0.0184701483295822,-0.333554174757852,-0.261152523727664,0.016058670725612,-0.328827765504545,-0.265878932980971,0.0209803866135347,-0.338474151387012,-0.256232547098504,0.0258250804518352,NA,1,160.428788566589
8,500,42,7,0.01716,0.324037,100,4,0.295788473940491,1,2,-0.297353349242758,0.0184701483295822,-0.333554174757852,-0.261152523727664,0.016058670725612,-0.328827765504545,-0.265878932980971,0.0209803866135347,-0.338474151387012,-0.256232547098504,0.0258250804518352,NA,1,160.428788566589
8,500,42,7,0.01716,0.324037,100,4,0.295788473940491,1,3,-0.297353349242758,0.0184701483295822,-0.333554174757852,-0.261152523727664,0.016058670725612,-0.328827765504545,-0.265878932980971,0.0209803866135347,-0.338474151387012,-0.256232547098504,0.0258250804518352,NA,1,160.428788566589
8,500,42,7,0.01716,0.324037,100,4,0.295788473940491,1,4,-0.297353349242758,0.0184701483295822,-0.333554174757852,-0.261152523727664,0.016058670725612,-0.328827765504545,-0.265878932980971,0.0209803866135347,-0.338474151387012,-0.256232547098504,0.0258250804518352,NA,1,160.428788566589
8,500,42,7,0.01716,0.324037,100,4,0.295788473940491,1,5,-0.297353349242758,0.0184701483295822,-0.333554174757852,-0.261152523727664,0.016058670725612,-0.328827765504545,-0.265878932980971,0.0209803866135347,-0.338474151387012,-0.256232547098504,0.0258250804518352,NA,1,160.428788566589
8,500,42,7,0.01716,0.324037,100,4,0.295788473940491,1,6,-0.297353349242758,0.0184701483295822,-0.333554174757852,-0.261152523727664,0.016058670725612,-0.328827765504545,-0.265878932980971,0.0209803866135347,-0.338474151387012,-0.256232547098504,0.0258250804518352,NA,1,160.428788566589
8,500,42,7,0.01716,0.324037,100,4,0.295788473940491,1,7,-0.297353349242758,0.0184701483295822,-0.333554174757852,-0.261152523727664,0.016058670725612,-0.328827765504545,-0.265878932980971,0.0209803866135347,-0.338474151387012,-0.256232547098504,0.0258250804518352,NA,1,160.428788566589
8,500,42,7,0.01716,0.324037,100,4,0.173314,4,0,0.148860356437018,0.0278979411523689,0.094181396535557,0.203539316338479,0.0260032544488959,0.097894914236351,0.199825798637685,0.0279142276790156,0.0941494755298962,0.203571237344139,0.0123181161700531,NA,1,160.428788566589
8,500,42,7,0.01716,0.324037,100,4,-0.561532843642946,4,1,-0.562954407000999,0.0198556024708019,-0.601870672735115,-0.524038141266883,0.0260032544488959,-0.613919849201666,-0.511988964800332,0.0279142276790156,-0.61766528790812,-0.508243526093877,0.0123181161700531,NA,1,160.428788566589
8,500,42,7,0.01716,0.324037,100,4,0.295788473940491,4,2,0.256241232232124,0.024301448840887,0.208611267731843,0.303871196732405,0.0260032544488959,0.205275790031457,0.307206674432791,0.0279142276790156,0.201530351325002,0.310952113139246,0.0123181161700531,NA,1,160.428788566589
8,500,42,7,0.01716,0.324037,100,4,0.295788473940491,4,3,0.299860674262162,0.028169588027977,0.244649296267996,0.355072052256327,0.0260032544488959,0.248895232061495,0.350826116462829,0.0279142276790156,0.24514979335504,0.354571555169283,0.0123181161700531,NA,1,160.428788566589
8,500,42,7,0.01716,0.324037,100,4,0.295788473940491,4,4,0.286450107376988,0.0326848957743835,0.22238888882075,0.350511325933225,0.0260032544488959,0.235484665176321,0.337415549577654,0.0279142276790156,0.231739226469866,0.341160988284109,0.0123181161700531,NA,1,160.428788566589
8,500,42,7,0.01716,0.324037,100,4,0.295788473940491,4,5,0.281004532708844,0.0384220294860688,0.205698738703213,0.356310326714475,0.0260032544488959,0.230039090508177,0.331969974909511,0.0279142276790156,0.226293651801723,0.335715413615966,0.0123181161700531,NA,1,160.428788566589
8,500,42,7,0.01716,0.324037,100,4,0.295788473940491,4,6,0.258554039810569,0.0463235775193473,0.167761496237599,0.349346583383539,0.0260032544488959,0.207588597609902,0.309519482011236,0.0279142276790156,0.203843158903447,0.31326492071769,0.0123181161700531,NA,1,160.428788566589
8,500,42,7,0.01716,0.324037,100,4,0.295788473940491,4,7,0.222866315669438,0.060721719366474,0.1038539326318,0.341878698707075,0.0260032544488959,0.171900873468771,0.273831757870105,0.0279142276790156,0.168155434762316,0.277577196576559,0.0123181161700531,NA,1,160.428788566589
8,500,42,7,0.01716,0.324037,100,4,0.173314,5,0,0.145479245085984,0.106048284568055,-0.0623715732896577,0.353330063461626,0.0258141693287077,0.0948844029108985,0.19607408726107,0.0277080418429635,0.0911724809916468,0.199786009180321,0.0123309623388609,0.0848999066379293,1,160.428788566589
