"t_max","n_per","k_max","expt_max","sigma_alpha_sq","sd_expt","B","scenario","param","model","expt","est_param","est_se","lower","upper","se_boots_k","lower_boots_normal_k","upper_boots_normal_k","se_boots_k_t","lower_boots_normal_k_t","upper_boots_normal_k_t","est_sigma_alpha_sq","est_sigma_delta_sq","conv","time"
8,100,42,7,0.01716,0.324037,100,1,0.173314,1,0,0.119078362401183,0.0381961696816932,0.0442152454776835,0.193941479324682,0.0354422057359115,0.0496129156261375,0.188543809176228,0.0358913754265536,0.048732559209532,0.189424165592834,0.0158937523023992,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,1,1,0.119078362401183,0.0381961696816932,0.0442152454776835,0.193941479324682,0.0354422057359115,0.0496129156261375,0.188543809176228,0.0358913754265536,0.048732559209532,0.189424165592834,0.0158937523023992,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,1,2,0.119078362401183,0.0381961696816932,0.0442152454776835,0.193941479324682,0.0354422057359115,0.0496129156261375,0.188543809176228,0.0358913754265536,0.048732559209532,0.189424165592834,0.0158937523023992,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,1,3,0.119078362401183,0.0381961696816932,0.0442152454776835,0.193941479324682,0.0354422057359115,0.0496129156261375,0.188543809176228,0.0358913754265536,0.048732559209532,0.189424165592834,0.0158937523023992,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,1,4,0.119078362401183,0.0381961696816932,0.0442152454776835,0.193941479324682,0.0354422057359115,0.0496129156261375,0.188543809176228,0.0358913754265536,0.048732559209532,0.189424165592834,0.0158937523023992,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,1,5,0.119078362401183,0.0381961696816932,0.0442152454776835,0.193941479324682,0.0354422057359115,0.0496129156261375,0.188543809176228,0.0358913754265536,0.048732559209532,0.189424165592834,0.0158937523023992,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,1,6,0.119078362401183,0.0381961696816932,0.0442152454776835,0.193941479324682,0.0354422057359115,0.0496129156261375,0.188543809176228,0.0358913754265536,0.048732559209532,0.189424165592834,0.0158937523023992,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,1,7,0.119078362401183,0.0381961696816932,0.0442152454776835,0.193941479324682,0.0354422057359115,0.0496129156261375,0.188543809176228,0.0358913754265536,0.048732559209532,0.189424165592834,0.0158937523023992,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,4,0,0.100895159634829,0.0536131496686212,-0.00418468281342368,0.205975002083083,0.0474515968604566,0.00789173877942057,0.193898580490238,0.0438838159445179,0.0148844608793898,0.186905858390269,0.0159907226787328,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,4,1,0.12532572088842,0.0444708464584535,0.0381644634678408,0.212486978309,0.0474515968604566,0.0323223000330114,0.218329141743829,0.0438838159445179,0.0393150221329806,0.21133641964386,0.0159907226787328,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,4,2,0.0689630493784718,0.0501263250743657,-0.0292827424446319,0.167208841201575,0.0474515968604566,-0.0240403714769371,0.161966470233881,0.0438838159445179,-0.0170476493769678,0.154973748133911,0.0159907226787328,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,4,3,0.146409146932993,0.0573861040007783,0.0339344498783979,0.258883843987589,0.0474515968604566,0.0534057260775844,0.239412567788402,0.0438838159445179,0.0603984481775536,0.232419845688433,0.0159907226787328,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,4,4,0.176328432296687,0.0661404346093376,0.0466955625405588,0.305961302052815,0.0474515968604566,0.0833250114412782,0.269331853152096,0.0438838159445179,0.0903177335412474,0.262339131052127,0.0159907226787328,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,4,5,0.0197536351013962,0.0762953819701378,-0.1297825657468,0.169289835949593,0.0474515968604566,-0.0732497857540126,0.112757055956805,0.0438838159445179,-0.0662570636540434,0.105764333856836,0.0159907226787328,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,4,6,0.0855458808625468,0.0926682126159709,-0.0960804783764565,0.26717224010155,0.0474515968604566,-0.00745753999286208,0.178549301717956,0.0438838159445179,-0.000464817892892821,0.171556579617986,0.0159907226787328,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,4,7,0.0839402519832906,0.123762066751765,-0.158628941502411,0.326509445468992,0.0474515968604566,-0.00906316887211824,0.176943672838699,0.0438838159445179,-0.00207044677214897,0.16995095073873,0.0159907226787328,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,5,0,0.118447841061802,0.0401154421087799,0.0398230193046917,0.197072662818912,0.0379824333593795,0.0440036396322253,0.192892042491378,0.035747577164408,0.0483838772849956,0.188511804838608,0.0159145776380474,0.000337980861087009,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,5,1,0.121252250112507,0.0433213474275068,0.0363439693928473,0.206160530832168,0.0379824333593795,0.0468080486829309,0.195696451542084,0.035747577164408,0.0511882863357013,0.191316213889314,0.0159145776380474,0.000337980861087009,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,5,2,0.109967698927024,0.0434137601508567,0.0248782925978844,0.195057105256163,0.0379824333593795,0.0355234974974472,0.1844119003566,0.035747577164408,0.0399037351502175,0.18003166270383,0.0159145776380474,0.000337980861087009,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,5,3,0.124687428035467,0.0435092844534082,0.039410797513679,0.209964058557256,0.0379824333593795,0.050243226605891,0.199131629465044,0.035747577164408,0.0546234642586613,0.194751391812274,0.0159145776380474,0.000337980861087009,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,5,4,0.128229476612595,0.0436148972413653,0.0427458488301033,0.213713104395086,0.0379824333593795,0.053785275183018,0.202673678042171,0.035747577164408,0.0581655128357883,0.198293440389401,0.0159145776380474,0.000337980861087009,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,5,5,0.10908715552606,0.0437280797367539,0.0233816941289265,0.194792616923193,0.0379824333593795,0.0346429540964834,0.183531356955636,0.035747577164408,0.0390231917492537,0.179151119302866,0.0159145776380474,0.000337980861087009,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,5,6,0.117536332951217,0.04385549898908,0.0315811344085877,0.203491531493847,0.0379824333593795,0.0430921315216406,0.191980534380794,0.035747577164408,0.0474723691744109,0.187600296728023,0.0159145776380474,0.000337980861087009,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,5,7,0.118079613309656,0.0439905983891272,0.0318596248086006,0.204299601810711,0.0379824333593795,0.0436354118800791,0.192523814739232,0.035747577164408,0.0480156495328495,0.188143577086462,0.0159145776380474,0.000337980861087009,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,1,0,0.224018641972496,0.0370567524281563,0.151388741829292,0.2966485421157,0.0341299416954812,0.157125185454901,0.290912098490091,0.0428341174499861,0.140065314460965,0.307971969484027,0.0112400434037116,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,1,1,0.224018641972496,0.0370567524281563,0.151388741829292,0.2966485421157,0.0341299416954812,0.157125185454901,0.290912098490091,0.0428341174499861,0.140065314460965,0.307971969484027,0.0112400434037116,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,1,2,0.224018641972496,0.0370567524281563,0.151388741829292,0.2966485421157,0.0341299416954812,0.157125185454901,0.290912098490091,0.0428341174499861,0.140065314460965,0.307971969484027,0.0112400434037116,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,1,3,0.224018641972496,0.0370567524281563,0.151388741829292,0.2966485421157,0.0341299416954812,0.157125185454901,0.290912098490091,0.0428341174499861,0.140065314460965,0.307971969484027,0.0112400434037116,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,1,4,0.224018641972496,0.0370567524281563,0.151388741829292,0.2966485421157,0.0341299416954812,0.157125185454901,0.290912098490091,0.0428341174499861,0.140065314460965,0.307971969484027,0.0112400434037116,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,1,5,0.224018641972496,0.0370567524281563,0.151388741829292,0.2966485421157,0.0341299416954812,0.157125185454901,0.290912098490091,0.0428341174499861,0.140065314460965,0.307971969484027,0.0112400434037116,NA,1,180.962902291616
8,100,42,7,0.01716,0.324037,100,1,0.173314,1,6,0.224018641972496,0.0370567524281563,0.151388741829292,0.2966485421157,0.0341299416954812,0.157125185454901,0.290912098490091,0.0428341174499861,0.140065314460965,0.307971969484027,0.0112400434037116,NA,1,180.962902291616
