"t_max","n_per","k_max","expt_max","sigma_alpha_sq","sd_expt","B","scenario","param","model","expt","est_param","est_se","lower","upper","se_boots_k","lower_boots_normal_k","upper_boots_normal_k","se_boots_k_t","lower_boots_normal_k_t","upper_boots_normal_k_t","est_sigma_alpha_sq","est_sigma_delta_sq","conv","time"
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,0,0.199866210963541,0.0182407495854691,0.164114998725007,0.235617423202074,0.0170615685303253,0.166426151124341,0.233306270802741,0.0187453140280772,0.163126070589616,0.236606351337466,0.0168464013037966,NA,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,1,0.199866210963541,0.0182407495854691,0.164114998725007,0.235617423202074,0.0170615685303253,0.166426151124341,0.233306270802741,0.0187453140280772,0.163126070589616,0.236606351337466,0.0168464013037966,NA,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,2,0.199866210963541,0.0182407495854691,0.164114998725007,0.235617423202074,0.0170615685303253,0.166426151124341,0.233306270802741,0.0187453140280772,0.163126070589616,0.236606351337466,0.0168464013037966,NA,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,3,0.199866210963541,0.0182407495854691,0.164114998725007,0.235617423202074,0.0170615685303253,0.166426151124341,0.233306270802741,0.0187453140280772,0.163126070589616,0.236606351337466,0.0168464013037966,NA,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,4,0.199866210963541,0.0182407495854691,0.164114998725007,0.235617423202074,0.0170615685303253,0.166426151124341,0.233306270802741,0.0187453140280772,0.163126070589616,0.236606351337466,0.0168464013037966,NA,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,5,0.199866210963541,0.0182407495854691,0.164114998725007,0.235617423202074,0.0170615685303253,0.166426151124341,0.233306270802741,0.0187453140280772,0.163126070589616,0.236606351337466,0.0168464013037966,NA,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,6,0.199866210963541,0.0182407495854691,0.164114998725007,0.235617423202074,0.0170615685303253,0.166426151124341,0.233306270802741,0.0187453140280772,0.163126070589616,0.236606351337466,0.0168464013037966,NA,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,7,0.199866210963541,0.0182407495854691,0.164114998725007,0.235617423202074,0.0170615685303253,0.166426151124341,0.233306270802741,0.0187453140280772,0.163126070589616,0.236606351337466,0.0168464013037966,NA,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,0,0.181760672412065,0.0282513510071354,0.12638904192348,0.23713230290065,0.0287690274530302,0.125374414733882,0.238146930090248,0.0272352676564537,0.128380528696107,0.235140816128023,0.0168132539815422,NA,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,1,0.188915082404561,0.0209962366029616,0.147763214851874,0.230066949957247,0.0287690274530302,0.132528824726378,0.245301340082744,0.0272352676564537,0.135534938688603,0.242295226120519,0.0168132539815422,NA,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,2,0.206314345679449,0.0243025695465897,0.158682184636353,0.253946506722545,0.0287690274530302,0.149928088001266,0.262700603357632,0.0272352676564537,0.152934201963491,0.259694489395407,0.0168132539815422,NA,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,3,0.181775980856471,0.0281091215228959,0.126683115034535,0.236868846678407,0.0287690274530302,0.125389723178288,0.238162238534654,0.0272352676564537,0.128395837140513,0.235156124572429,0.0168132539815422,NA,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,4,0.194396342586966,0.0327592756412524,0.130189342170491,0.258603343003442,0.0287690274530302,0.138010084908783,0.25078260026515,0.0272352676564537,0.141016198871009,0.247776486302924,0.0168132539815422,NA,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,5,0.197676910381366,0.0385666216727314,0.12208772089743,0.273266099865301,0.0287690274530302,0.141290652703183,0.254063168059549,0.0272352676564537,0.144296766665408,0.251057054097324,0.0168132539815422,NA,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,6,0.154455642891374,0.0463832894535867,0.0635460660778472,0.2453652197049,0.0287690274530302,0.0980693852131905,0.210841900569557,0.0272352676564537,0.101075499175416,0.207835786607332,0.0168132539815422,NA,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,7,0.14879040208427,0.0602029313295112,0.0307948249146901,0.26678597925385,0.0287690274530302,0.0924041444060869,0.205176659762453,0.0272352676564537,0.0954102583683122,0.202170545800228,0.0168132539815422,NA,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,5,0,0.199868459344526,0.0182303004922314,0.16413772695241,0.235599191736643,0.0176634593464663,0.165248715183065,0.234488203505988,0.0183616847620676,0.163880218515396,0.235856700173657,0.0168464143631969,0,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,5,1,0.199868459344526,0.0182303004922314,0.16413772695241,0.235599191736643,0.0176634593464663,0.165248715183065,0.234488203505988,0.0183616847620676,0.163880218515396,0.235856700173657,0.0168464143631969,0,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,5,2,0.199868459344526,0.0182303004922314,0.16413772695241,0.235599191736643,0.0176634593464663,0.165248715183065,0.234488203505988,0.0183616847620676,0.163880218515396,0.235856700173657,0.0168464143631969,0,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,5,3,0.199868459344526,0.0182303004922314,0.16413772695241,0.235599191736643,0.0176634593464663,0.165248715183065,0.234488203505988,0.0183616847620676,0.163880218515396,0.235856700173657,0.0168464143631969,0,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,5,4,0.199868459344526,0.0182303004922314,0.16413772695241,0.235599191736643,0.0176634593464663,0.165248715183065,0.234488203505988,0.0183616847620676,0.163880218515396,0.235856700173657,0.0168464143631969,0,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,5,5,0.199868459344526,0.0182303004922314,0.16413772695241,0.235599191736643,0.0176634593464663,0.165248715183065,0.234488203505988,0.0183616847620676,0.163880218515396,0.235856700173657,0.0168464143631969,0,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,5,6,0.199868459344526,0.0182303004922314,0.16413772695241,0.235599191736643,0.0176634593464663,0.165248715183065,0.234488203505988,0.0183616847620676,0.163880218515396,0.235856700173657,0.0168464143631969,0,1,174.656166593234
8,500,42,7,0.01716,0.324037,100,1,0.173314,5,7,0.199868459344526,0.0182303004922314,0.16413772695241,0.235599191736643,0.0176634593464663,0.165248715183065,0.234488203505988,0.0183616847620676,0.163880218515396,0.235856700173657,0.0168464143631969,0,1,174.656166593234
