"t_max","n_per","k_max","expt_max","sigma_alpha_sq","sd_expt","B","scenario","param","model","expt","est_param","est_se","lower","upper","se_boots_k","lower_boots_normal_k","upper_boots_normal_k","se_boots_k_t","lower_boots_normal_k_t","upper_boots_normal_k_t","est_sigma_alpha_sq","est_sigma_delta_sq","conv","time"
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,0,0.162435755942299,0.0182596734079462,0.126647453693261,0.198224058191338,0.0161142452143761,0.130852415684075,0.194019096200523,0.0192450545838659,0.124716142077415,0.200155369807184,0.0163449458082966,NA,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,1,0.162435755942299,0.0182596734079462,0.126647453693261,0.198224058191338,0.0161142452143761,0.130852415684075,0.194019096200523,0.0192450545838659,0.124716142077415,0.200155369807184,0.0163449458082966,NA,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,2,0.162435755942299,0.0182596734079462,0.126647453693261,0.198224058191338,0.0161142452143761,0.130852415684075,0.194019096200523,0.0192450545838659,0.124716142077415,0.200155369807184,0.0163449458082966,NA,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,3,0.162435755942299,0.0182596734079462,0.126647453693261,0.198224058191338,0.0161142452143761,0.130852415684075,0.194019096200523,0.0192450545838659,0.124716142077415,0.200155369807184,0.0163449458082966,NA,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,4,0.162435755942299,0.0182596734079462,0.126647453693261,0.198224058191338,0.0161142452143761,0.130852415684075,0.194019096200523,0.0192450545838659,0.124716142077415,0.200155369807184,0.0163449458082966,NA,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,5,0.162435755942299,0.0182596734079462,0.126647453693261,0.198224058191338,0.0161142452143761,0.130852415684075,0.194019096200523,0.0192450545838659,0.124716142077415,0.200155369807184,0.0163449458082966,NA,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,6,0.162435755942299,0.0182596734079462,0.126647453693261,0.198224058191338,0.0161142452143761,0.130852415684075,0.194019096200523,0.0192450545838659,0.124716142077415,0.200155369807184,0.0163449458082966,NA,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,7,0.162435755942299,0.0182596734079462,0.126647453693261,0.198224058191338,0.0161142452143761,0.130852415684075,0.194019096200523,0.0192450545838659,0.124716142077415,0.200155369807184,0.0163449458082966,NA,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,0,0.161488707334787,0.0285153114929918,0.105599723800582,0.217377690868992,0.0258188834990384,0.110884625555636,0.212092789113938,0.0285506700727647,0.105530422257683,0.217446992411891,0.0163918276596907,NA,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,1,0.154840057697387,0.0209782377999516,0.113723467150365,0.195956648244409,0.0258188834990384,0.104235975918236,0.205444139476538,0.0285506700727647,0.0988817726202827,0.210798342774491,0.0163918276596907,NA,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,2,0.144522826837182,0.0242668674828574,0.0969606405531759,0.192085013121189,0.0258188834990384,0.0939187450580317,0.195126908616333,0.0285506700727647,0.0885645417600782,0.200481111914287,0.0163918276596907,NA,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,3,0.205849045811682,0.028270005984806,0.15044085223873,0.261257239384633,0.0258188834990384,0.155244964032531,0.256453127590832,0.0285506700727647,0.149890760734577,0.261807330888786,0.0163918276596907,NA,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,4,0.178457839790434,0.0329250904975525,0.113925848227509,0.242989831353358,0.0258188834990384,0.127853758011283,0.229061921569584,0.0285506700727647,0.122499554713329,0.234416124867538,0.0163918276596907,NA,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,5,0.168226331899185,0.0387716259528724,0.0922353414094969,0.244217322388874,0.0258188834990384,0.117622250120034,0.218830413678336,0.0285506700727647,0.112268046822081,0.22418461697629,0.0163918276596907,NA,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,6,0.152941734328875,0.0467504327973536,0.0613125697844018,0.244570898873348,0.0258188834990384,0.102337652549724,0.203545816108026,0.0285506700727647,0.0969834492517707,0.208900019405979,0.0163918276596907,NA,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,7,0.125583114978765,0.0613278242025681,0.00538278829152766,0.245783441666002,0.0258188834990384,0.0749790331996142,0.176187196757916,0.0285506700727647,0.0696248299016607,0.181541400055869,0.0163918276596907,NA,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,5,0,0.165345899737921,0.0205339166123163,0.125100162716232,0.20559163675961,0.0171391282784241,0.131753825585798,0.198937973890044,0.020183579688244,0.125786810469869,0.204904989005973,0.0163222465652514,0.000157052659090465,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,5,1,0.161031875009196,0.0228104510243054,0.116324212530443,0.20573953748795,0.0171391282784241,0.127439800857073,0.19462394916132,0.020183579688244,0.121472785741144,0.200590964277249,0.0163222465652514,0.000157052659090465,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,5,2,0.157460707951309,0.0229317564199903,0.112515291265883,0.202406124636736,0.0171391282784241,0.123868633799186,0.191052782103433,0.020183579688244,0.117901618683257,0.197019797219362,0.0163222465652514,0.000157052659090465,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,5,3,0.178089344035356,0.0230626852581609,0.132887311542578,0.223291376528135,0.0171391282784241,0.144497269883233,0.211681418187479,0.020183579688244,0.138530254767304,0.217648433303409,0.0163222465652514,0.000157052659090465,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,5,4,0.168645634562989,0.0232087782959764,0.1231572649777,0.214134004148278,0.0171391282784241,0.135053560410866,0.202237708715112,0.020183579688244,0.129086545294937,0.208204723831041,0.0163222465652514,0.000157052659090465,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,5,5,0.165927596952385,0.0233776441264188,0.120108256421209,0.21174693748356,0.0171391282784241,0.132335522800261,0.199519671104508,0.020183579688244,0.126368507684332,0.205486686220437,0.0163222465652514,0.000157052659090465,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,5,6,0.163671140167661,0.0235752037656765,0.117464589858742,0.20987769047658,0.0171391282784241,0.130079066015538,0.197263214319784,0.020183579688244,0.124112050899609,0.203230229435714,0.0163222465652514,0.000157052659090465,1,164.338097961744
8,500,42,7,0.01716,0.324037,100,1,0.173314,5,7,0.162533830847068,0.0238072911533572,0.115872397617029,0.209195264077107,0.0171391282784241,0.128941756694944,0.196125904999191,0.020183579688244,0.122974741579015,0.20209292011512,0.0163222465652514,0.000157052659090465,1,164.338097961744
