"n.t","n.per","scenario","sd_group","true","model","number","param","sd","lower","upper","conv","time"
8,30,1,0.223606797749979,0.182321556793955,"1",0,0.284269714754652,0.175904437178461,-0.0604966468359213,0.629036076345224,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"1",1,0.284269714754652,0.175904437178461,-0.0604966468359213,0.629036076345224,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"1",2,0.284269714754652,0.175904437178461,-0.0604966468359213,0.629036076345224,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"1",3,0.284269714754652,0.175904437178461,-0.0604966468359213,0.629036076345224,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"1",4,0.284269714754652,0.175904437178461,-0.0604966468359213,0.629036076345224,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"1",5,0.284269714754652,0.175904437178461,-0.0604966468359213,0.629036076345224,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"1",6,0.284269714754652,0.175904437178461,-0.0604966468359213,0.629036076345224,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"1",7,0.284269714754652,0.175904437178461,-0.0604966468359213,0.629036076345224,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"2",0,0.469340233653396,0.213396596874526,0.0510905893559127,0.887589877950879,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"2",1,0.117335058413349,0.0533491492186314,0.0127726473389782,0.22189746948772,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"2",2,0.234670116826698,0.106698298437263,0.0255452946779564,0.443794938975439,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"2",3,0.352005175240047,0.160047447655894,0.0383179420169345,0.665692408463159,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"2",4,0.469340233653396,0.213396596874526,0.0510905893559127,0.887589877950879,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"2",5,0.586675292066745,0.266745746093157,0.0638632366948908,1.1094873474386,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"2",6,0.704010350480094,0.320094895311789,0.076635884033869,1.33138481692632,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"2",7,0.821345408893443,0.37344404453042,0.0894085313728472,1.55328228641404,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"3",0,0.370285613663376,0.188954101846559,-5.76206869921658e-05,0.740628848013745,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"3",1,0.179924710553805,0.195206602001381,-0.202673198913346,0.562522620020956,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"3",2,0.402012430848305,0.201878555667199,0.00633773248962949,0.79768712920698,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"3",3,0.402012430848305,0.201878555667199,0.00633773248962949,0.79768712920698,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"3",4,0.402012430848305,0.201878555667199,0.00633773248962949,0.79768712920698,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"3",5,0.402012430848305,0.201878555667199,0.00633773248962949,0.79768712920698,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"3",6,0.402012430848305,0.201878555667199,0.00633773248962949,0.79768712920698,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"3",7,0.402012430848305,0.201878555667199,0.00633773248962949,0.79768712920698,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"4",0,0.543666351088096,0.236704267386819,0.0797345120229915,1.0075981901532,1,5.87635334730148
8,30,1,0.223606797749979,0.182321556793955,"4",1,0.232966460752124,0.200635775168321,-0.160272432588061,0.626205354092308,1,5.87635334730148
