"t_max","n_per","scenario","sigma_alpha_sq","sd_expt","true","model","expt","est_param","est_se","lower","upper","se_boots_k","lower_boots_normal_k","upper_boots_normal_k","se_boots_k_t","lower_boots_normal_k_t","upper_boots_normal_k_t","est_sigma_alpha_sq","est_sigma_delta_sq","conv","time"
8,30,10,0.223606797749979,0.1,0.182321556793955,1,0,0.0448545127553054,0.1608165949789,-0.270340221519703,0.360049247030314,0.159417679013519,-0.267598396610158,0.357307422120769,0,0.0448545127553054,0.0448545127553054,0.00685641196777065,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.114518894717855,1,1,0.0448545127553054,0.1608165949789,-0.270340221519703,0.360049247030314,0.159417679013519,-0.267598396610158,0.357307422120769,0,0.0448545127553054,0.0448545127553054,0.00685641196777065,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.258069323880397,1,2,0.0448545127553054,0.1608165949789,-0.270340221519703,0.360049247030314,0.159417679013519,-0.267598396610158,0.357307422120769,0,0.0448545127553054,0.0448545127553054,0.00685641196777065,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.325178219686346,1,3,0.0448545127553054,0.1608165949789,-0.270340221519703,0.360049247030314,0.159417679013519,-0.267598396610158,0.357307422120769,0,0.0448545127553054,0.0448545127553054,0.00685641196777065,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.0419594618550229,1,4,0.0448545127553054,0.1608165949789,-0.270340221519703,0.360049247030314,0.159417679013519,-0.267598396610158,0.357307422120769,0,0.0448545127553054,0.0448545127553054,0.00685641196777065,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.22586548690495,1,5,0.0448545127553054,0.1608165949789,-0.270340221519703,0.360049247030314,0.159417679013519,-0.267598396610158,0.357307422120769,0,0.0448545127553054,0.0448545127553054,0.00685641196777065,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.0996415948522268,1,6,0.0448545127553054,0.1608165949789,-0.270340221519703,0.360049247030314,0.159417679013519,-0.267598396610158,0.357307422120769,0,0.0448545127553054,0.0448545127553054,0.00685641196777065,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.211017915660884,1,7,0.0448545127553054,0.1608165949789,-0.270340221519703,0.360049247030314,0.159417679013519,-0.267598396610158,0.357307422120769,0,0.0448545127553054,0.0448545127553054,0.00685641196777065,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.182321556793955,4,0,0.00657741244661994,0.187321264746484,-0.360565519994981,0.373720344888221,0.342160036167411,-0.664043935390429,0.677198760283668,0,0.00657741244661994,0.00657741244661994,0.000678271749201285,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.114518894717855,4,1,-0.134482212175145,0.191682456621321,-0.510172923621097,0.241208499270806,0.17705319073149,-0.481500089356767,0.212535665006476,0,-0.134482212175145,-0.134482212175145,0.000678271749201285,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.258069323880397,4,2,0.37483023341362,0.228102965056955,-0.0722433628648105,0.821903829692051,0.242156327097265,-0.0997874463255196,0.84944791315276,0,0.37483023341362,0.37483023341362,0.000678271749201285,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.325178219686346,4,3,0.102496170362246,0.234035249732526,-0.356204490226342,0.561196830950835,0.224105749792059,-0.336743027958534,0.541735368683027,0,0.102496170362246,0.102496170362246,0.000678271749201285,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.0419594618550229,4,4,-0.241608897104896,0.250916366987137,-0.733395939531319,0.250178145321527,0.25392630092956,-0.739295301654312,0.25607750744452,0,-0.241608897104896,-0.241608897104896,0.000678271749201285,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.22586548690495,4,5,0.276464586647576,0.310699769205843,-0.332495771000784,0.885424944295936,0.338599438161527,-0.387178117334515,0.940107290629666,0,0.276464586647576,0.276464586647576,0.000678271749201285,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.0996415948522268,4,6,-0.354915989943453,0.347767349890672,-1.03652747072811,0.326695490841205,0.42068027359105,-1.17943417518837,0.469602195301461,0,-0.354915989943453,-0.354915989943453,0.000678271749201285,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.211017915660884,4,7,0.0232579959263912,0.565047527099491,-1.08421480674203,1.13073079859481,2.13894303663973,-4.16899332087022,4.215509312723,0,0.0232579959263912,0.0232579959263912,0.000678271749201285,NA,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.182321556793955,5,0,0.0451718087665215,0.172961498143703,-0.293826498307228,0.384170115840271,0.165291797119353,-0.278794160527312,0.369137778060355,0,0.0451718087665215,0.0451718087665215,0.00606693822784763,0.016106367871243,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.114518894717855,5,1,-0.0205132458187898,0.199884691351093,-0.412280041927837,0.371253550290258,0.175513383313398,-0.364513155917822,0.323486664280243,0,-0.0205132458187898,-0.0205132458187898,0.00606693822784763,0.016106367871243,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.258069323880397,5,2,0.151170412958442,0.201964969372424,-0.244673653150243,0.547014479067128,0.229288211732567,-0.298226224116984,0.600567050033868,0,0.151170412958442,0.151170412958442,0.00606693822784763,0.016106367871243,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.325178219686346,5,3,0.0675246079870829,0.202838337506066,-0.330031228208787,0.465080444182953,0.182017164870889,-0.289222479727949,0.424271695702115,0,0.0675246079870829,0.0675246079870829,0.00606693822784763,0.016106367871243,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.0419594618550229,5,4,-0.0272867957048629,0.203914471527851,-0.426951815825969,0.372378224416243,0.212538631199296,-0.443854858178924,0.389281266769198,0,-0.0272867957048629,-0.0272867957048629,0.00606693822784763,0.016106367871243,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.22586548690495,5,5,0.100503519368682,0.206547155451158,-0.304321466424784,0.505328505162147,0.233112990102886,-0.356389545561416,0.55739658429878,0,0.100503519368682,0.100503519368682,0.00606693822784763,0.016106367871243,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.0996415948522268,5,6,-0.00966715002462335,0.208761703763169,-0.418832570751655,0.399498270702408,0.250189987795298,-0.500030515395924,0.480696215346677,0,-0.00966715002462335,-0.00966715002462335,0.00606693822784763,0.016106367871243,1,18.7344040870667
8,30,10,0.223606797749979,0.1,0.211017915660884,5,7,0.0489443541852302,0.212119373873428,-0.366801979029874,0.464690687400335,0.185345934742708,-0.314327002591388,0.412215710961849,0,0.0489443541852302,0.0489443541852302,0.00606693822784763,0.016106367871243,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.182321556793955,1,0,0.15956567141636,0.160323618393365,-0.154662846505778,0.473794189338498,0.162719314308606,-0.159358324217561,0.478489667050281,0,0.15956567141636,0.15956567141636,0.0174162063748087,NA,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.114518894717855,1,1,0.15956567141636,0.160323618393365,-0.154662846505778,0.473794189338498,0.162719314308606,-0.159358324217561,0.478489667050281,0,0.15956567141636,0.15956567141636,0.0174162063748087,NA,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.258069323880397,1,2,0.15956567141636,0.160323618393365,-0.154662846505778,0.473794189338498,0.162719314308606,-0.159358324217561,0.478489667050281,0,0.15956567141636,0.15956567141636,0.0174162063748087,NA,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.325178219686346,1,3,0.15956567141636,0.160323618393365,-0.154662846505778,0.473794189338498,0.162719314308606,-0.159358324217561,0.478489667050281,0,0.15956567141636,0.15956567141636,0.0174162063748087,NA,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.0419594618550229,1,4,0.15956567141636,0.160323618393365,-0.154662846505778,0.473794189338498,0.162719314308606,-0.159358324217561,0.478489667050281,0,0.15956567141636,0.15956567141636,0.0174162063748087,NA,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.22586548690495,1,5,0.15956567141636,0.160323618393365,-0.154662846505778,0.473794189338498,0.162719314308606,-0.159358324217561,0.478489667050281,0,0.15956567141636,0.15956567141636,0.0174162063748087,NA,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.0996415948522268,1,6,0.15956567141636,0.160323618393365,-0.154662846505778,0.473794189338498,0.162719314308606,-0.159358324217561,0.478489667050281,0,0.15956567141636,0.15956567141636,0.0174162063748087,NA,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.211017915660884,1,7,0.15956567141636,0.160323618393365,-0.154662846505778,0.473794189338498,0.162719314308606,-0.159358324217561,0.478489667050281,0,0.15956567141636,0.15956567141636,0.0174162063748087,NA,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.182321556793955,4,0,0.0945444588439883,0.199130811782965,-0.295744760462847,0.484833678150823,0.220137594327704,-0.336917297681601,0.526006215369577,0,0.0945444588439883,0.0945444588439883,0.0113138115189327,NA,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.114518894717855,4,1,0.0261912188495658,0.186582035264516,-0.339502850431067,0.391885288130199,0.190143177627403,-0.346482561206146,0.398864998905278,0,0.0261912188495658,0.0261912188495658,0.0113138115189327,NA,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.258069323880397,4,2,0.255974136058231,0.215502470432597,-0.166402944569067,0.678351216685528,0.220921639899618,-0.177024321550547,0.688972593667009,0,0.255974136058231,0.255974136058231,0.0113138115189327,NA,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.325178219686346,4,3,0.394498013912824,0.251583630961981,-0.0985968418724739,0.887592869698122,0.261724212011937,-0.118472015512698,0.907468043338346,0,0.394498013912824,0.394498013912824,0.0113138115189327,NA,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.0419594618550229,4,4,-0.0386783539714807,0.264993405193249,-0.558055884290878,0.480699176347916,0.285612541767768,-0.598468649369247,0.521111941426286,0,-0.0386783539714807,-0.0386783539714807,0.0113138115189327,NA,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.22586548690495,4,5,0.497969615870488,0.325182251052313,-0.139375884603707,1.13531511634468,0.313470881922064,-0.116422022898765,1.11236125463974,0,0.497969615870488,0.497969615870488,0.0113138115189327,NA,1,18.7344040870667
8,30,22,0.223606797749979,0.1,0.0996415948522268,4,6,-0.213929573677364,0.357031484088591,-0.913698423837888,0.485839276483159,0.339644555094924,-0.879620669208546,0.451761521853817,0,-0.213929573677364,-0.213929573677364,0.0113138115189327,NA,1,18.7344040870667
