"t_max","n_per","k_max","expt_max","sigma_alpha_sq","sd_expt","B","scenario","param","model","expt","est_param","est_se","lower","upper","se_boots_k","lower_boots_normal_k","upper_boots_normal_k","se_boots_k_t","lower_boots_normal_k_t","upper_boots_normal_k_t","est_sigma_alpha_sq","est_sigma_delta_sq","conv","time"
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,0,0.182929749823,0.0181602864787346,0.147336242375751,0.21852325727025,0.0154388827748183,0.15267009562282,0.21318940402318,0.0177372145781968,0.148165448063676,0.217694051582325,0.012376328548244,NA,1,491.266060407956
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,1,0.182929749823,0.0181602864787346,0.147336242375751,0.21852325727025,0.0154388827748183,0.15267009562282,0.21318940402318,0.0177372145781968,0.148165448063676,0.217694051582325,0.012376328548244,NA,1,491.266060407956
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,2,0.182929749823,0.0181602864787346,0.147336242375751,0.21852325727025,0.0154388827748183,0.15267009562282,0.21318940402318,0.0177372145781968,0.148165448063676,0.217694051582325,0.012376328548244,NA,1,491.266060407956
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,3,0.182929749823,0.0181602864787346,0.147336242375751,0.21852325727025,0.0154388827748183,0.15267009562282,0.21318940402318,0.0177372145781968,0.148165448063676,0.217694051582325,0.012376328548244,NA,1,491.266060407956
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,4,0.182929749823,0.0181602864787346,0.147336242375751,0.21852325727025,0.0154388827748183,0.15267009562282,0.21318940402318,0.0177372145781968,0.148165448063676,0.217694051582325,0.012376328548244,NA,1,491.266060407956
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,5,0.182929749823,0.0181602864787346,0.147336242375751,0.21852325727025,0.0154388827748183,0.15267009562282,0.21318940402318,0.0177372145781968,0.148165448063676,0.217694051582325,0.012376328548244,NA,1,491.266060407956
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,6,0.182929749823,0.0181602864787346,0.147336242375751,0.21852325727025,0.0154388827748183,0.15267009562282,0.21318940402318,0.0177372145781968,0.148165448063676,0.217694051582325,0.012376328548244,NA,1,491.266060407956
8,500,42,7,0.01716,0.324037,100,1,0.173314,1,7,0.182929749823,0.0181602864787346,0.147336242375751,0.21852325727025,0.0154388827748183,0.15267009562282,0.21318940402318,0.0177372145781968,0.148165448063676,0.217694051582325,0.012376328548244,NA,1,491.266060407956
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,0,0.191915787857258,0.0276472213726427,0.137728229694273,0.246103346020244,0.0219897484292893,0.148816672906755,0.235014902807762,0.0279032163176785,0.137226488821778,0.246605086892739,0.0123963534214424,NA,1,491.266060407956
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,1,0.192420564397473,0.0208411210626481,0.151572717717243,0.233268411077702,0.0219897484292893,0.149321449446969,0.235519679347976,0.0279032163176785,0.137731265361992,0.247109863432953,0.0123963534214424,NA,1,491.266060407956
8,500,42,7,0.01716,0.324037,100,1,0.173314,4,2,0.170705012793557,0.0239558339683822,0.123752440995906,0.217657584591207,0.0219897484292893,0.127605897843054,0.21380412774406,0.0279032163176785,0.116015713758077,0.225394311829037,0.0123963534214424,NA,1,491.266060407956
